time[s],data(t-1)[degree],data(t),data(t+1),Average
10,27.1063,27.5947,26.6179,27.1063
20,27.1063,27.1063,27.5947,27.2691
30,27.5947,27.1063,27.1063,27.2691
40,28.0831,27.5947,27.1063,27.5947
50,29.5483,28.0831,27.5947,28.4087
60,30.0367,29.5483,28.0831,29.2227
70,30.0367,30.0367,29.5483,29.8739
80,30.0367,30.0367,30.0367,30.0367
90,31.5019,30.0367,30.0367,30.5251
100,31.9903,31.5019,30.0367,31.1763
110,32.9671,31.9903,31.5019,32.1531
120,33.9439,32.9671,31.9903,32.9671
130,33.9439,33.9439,32.9671,33.6183
140,34.9207,33.9439,33.9439,34.2695
150,35.8975,34.9207,33.9439,34.9207
160,36.8743,35.8975,34.9207,35.8975
170,37.3627,36.8743,35.8975,36.7115
180,38.8279,37.3627,36.8743,37.6883
190,39.3163,38.8279,37.3627,38.5023
200,39.8047,39.3163,38.8279,39.3163
210,41.2699,39.8047,39.3163,40.1303
220,42.2467,41.2699,39.8047,41.1071
230,43.2235,42.2467,41.2699,42.2467
240,43.2235,43.2235,42.2467,42.8979
250,44.6887,43.2235,43.2235,43.7119
260,45.1771,44.6887,43.2235,44.3631
270,46.1539,45.1771,44.6887,45.3399
280,46.6423,46.1539,45.1771,45.9911
290,47.1307,46.6423,46.1539,46.6423
300,48.1075,47.1307,46.6423,47.2935
310,48.1075,48.1075,47.1307,47.7819
320,50.0611,48.1075,48.1075,48.7587
330,50.0611,50.0611,48.1075,49.4099
340,50.5495,50.0611,50.0611,50.2239
350,51.5263,50.5495,50.0611,50.7123
360,51.5263,51.5263,50.5495,51.2007
370,52.9915,51.5263,51.5263,52.0147
380,53.4799,52.9915,51.5263,52.6659
390,53.9683,53.4799,52.9915,53.4799
400,54.9451,53.9683,53.4799,54.1311
410,55.9219,54.9451,53.9683,54.9451
420,55.9219,55.9219,54.9451,55.5963
430,56.4103,55.9219,55.9219,56.0847
440,56.4103,56.4103,55.9219,56.2475
450,57.8755,56.4103,56.4103,56.8987
460,58.3639,57.8755,56.4103,57.5499
470,58.8523,58.3639,57.8755,58.3639
480,59.3407,58.8523,58.3639,58.8523
490,60.3175,59.3407,58.8523,59.5035
500,60.3175,60.3175,59.3407,59.9919
510,61.2943,60.3175,60.3175,60.6431
520,61.7827,61.2943,60.3175,61.1315
530,62.7595,61.7827,61.2943,61.9455
540,63.2479,62.7595,61.7827,62.5967
550,63.2479,63.2479,62.7595,63.0851
560,64.2247,63.2479,63.2479,63.5735
570,64.7131,64.2247,63.2479,64.0619
