sample_time,data_(t+h),data_(t),data_([t+h]-[t]),log_data
200,59.5035,39.3163,20.1872,3.00504874019
210,59.9919,40.1303,19.8616,2.98878821932
220,60.6431,41.1071,19.536,2.97225891737
230,61.1315,42.2467,18.8848,2.93835736569
240,61.9455,42.8979,19.0476,2.94694110938
250,62.5967,43.7119,18.8848,2.93835736569
260,63.0851,44.3631,18.722,2.92969930295
270,63.5735,45.3399,18.2336,2.90326604588
280,64.0619,45.9911,18.0708,2.8942973759
290,64.7131,46.6423,18.0708,2.8942973759
300,65.2015,47.2935,17.908,2.88524754038
310,65.8527,47.7819,18.0708,2.8942973759
320,66.3411,48.7587,17.5824,2.86689840171
330,66.9923,49.4099,17.5824,2.86689840171
340,67.4807,50.2239,17.2568,2.8482062687
350,68.1319,50.7123,17.4196,2.85759600905
360,68.6203,51.2007,17.4196,2.85759600905
370,69.1087,52.0147,17.094,2.83872752474
380,69.7599,52.6659,17.094,2.83872752474
390,70.2483,53.4799,16.7684,2.81949616282
400,70.7367,54.1311,16.6056,2.80973998787
410,71.0623,54.9451,16.1172,2.77988702472
420,71.5507,55.5963,15.9544,2.76973465326
430,72.0391,56.0847,15.9544,2.76973465326
440,72.5275,56.2475,16.28,2.78993736057
450,73.0159,56.8987,16.1172,2.77988702472
460,73.5043,57.5499,15.9544,2.76973465326
470,74.1555,58.3639,15.7916,2.75947815309
480,74.9695,58.8523,16.1172,2.77988702472
490,75.6207,59.5035,16.1172,2.77988702472
500,75.9463,59.9919,15.9544,2.76973465326
510,76.1091,60.6431,15.466,2.73864406619
520,76.5975,61.1315,15.466,2.73864406619
530,76.9231,61.9455,14.9776,2.70655575164
540,77.4115,62.5967,14.8148,2.6956266811
550,77.8999,63.0851,14.8148,2.6956266811
560,78.5511,63.5735,14.9776,2.70655575164
570,79.2023,64.0619,15.1404,2.71736666774
580,79.6907,64.7131,14.9776,2.70655575164
590,80.1791,65.2015,14.9776,2.70655575164
600,80.6675,65.8527,14.8148,2.6956266811
610,81.1559,66.3411,14.8148,2.6956266811
620,81.6443,66.9923,14.652,2.68457684492
630,81.9699,67.4807,14.4892,2.67340354432
640,82.4583,68.1319,14.3264,2.66210398906
650,82.9467,68.6203,14.3264,2.66210398906
660,83.4351,69.1087,14.3264,2.66210398906
670,83.9235,69.7599,14.1636,2.65067529324
680,84.4119,70.2483,14.1636,2.65067529324
690,84.9003,70.7367,14.1636,2.65067529324
700,85.2259,71.0623,14.1636,2.65067529324
710,85.7143,71.5507,14.1636,2.65067529324
720,86.2027,72.0391,14.1636,2.65067529324
730,86.8539,72.5275,14.3264,2.66210398906
740,87.3423,73.0159,14.3264,2.66210398906
750,87.8307,73.5043,14.3264,2.66210398906
760,88.1563,74.1555,14.0008,2.63911447084
770,88.4819,74.9695,13.5124,2.60360778238
780,88.8075,75.6207,13.1868,2.57921632926
790,89.1331,75.9463,13.1868,2.57921632926
800,89.6215,76.1091,13.5124,2.60360778238
810,89.9471,76.5975,13.3496,2.59148642185
820,90.2727,76.9231,13.3496,2.59148642185
830,90.5983,77.4115,13.1868,2.57921632926
840,91.0867,77.8999,13.1868,2.57921632926
850,91.5751,78.5511,13.024,2.56679380926
860,92.0635,79.2023,12.8612,2.55421502705
870,92.2263,79.6907,12.5356,2.52857259644
880,92.7147,80.1791,12.5356,2.52857259644
890,93.0403,80.6675,12.3728,2.51550051487
900,93.6915,81.1559,12.5356,2.52857259644
910,93.8543,81.6443,12.21,2.50225528812
920,94.3427,81.9699,12.3728,2.51550051487
930,94.6683,82.4583,12.21,2.50225528812
940,95.1567,82.9467,12.21,2.50225528812
950,95.6451,83.4351,12.21,2.50225528812
960,96.1335,83.9235,12.21,2.50225528812
970,96.4591,84.4119,12.0472,2.48883226779
980,96.6219,84.9003,11.7216,2.4614332936
990,96.9475,85.2259,11.7216,2.4614332936
1000,97.4359,85.7143,11.7216,2.4614332936
1010,97.9243,86.2027,11.7216,2.4614332936
1020,98.2499,86.8539,11.396,2.43326241664
1030,98.5755,87.3423,11.2332,2.41887367918
1040,98.9011,87.8307,11.0704,2.40427487976
1050,99.2267,88.1563,11.0704,2.40427487976
1060,99.7151,88.4819,11.2332,2.41887367918
1070,100.0407,88.8075,11.2332,2.41887367918
1080,100.3663,89.1331,11.2332,2.41887367918
1090,100.5291,89.6215,10.9076,2.38945979398
1100,100.8547,89.9471,10.9076,2.38945979398
1110,101.3431,90.2727,11.0704,2.40427487976
1120,101.8315,90.5983,11.2332,2.41887367918
1130,102.1571,91.0867,11.0704,2.40427487976
1140,102.4827,91.5751,10.9076,2.38945979398
1150,102.6455,92.0635,10.582,2.35915444448
1160,102.8083,92.2263,10.582,2.35915444448
1170,103.1339,92.7147,10.4192,2.34365025795
